Date,Open,High,Low,Close,Adj Close,Volume
2021-03-02,60.889999,60.919998,58.610001,58.689999,58.518078,3830000
2021-03-03,58.285000,58.634998,55.270000,55.310001,55.147980,5715600
2021-03-04,55.125000,56.310001,52.044998,53.455002,53.298416,13226800
2021-03-05,54.430000,55.395000,51.200001,55.095001,54.933609,8601800
2021-03-08,54.869999,55.560001,51.805000,51.959999,51.807793,5807000
2021-03-09,54.544998,56.724998,54.375000,56.070000,55.905750,4376800
2021-03-10,57.634998,57.849998,55.485001,55.735001,55.571735,7108600
2021-03-11,57.490002,58.930000,57.145000,58.320000,58.149162,4129800
2021-03-12,56.740002,57.389999,55.869999,57.345001,57.177017,4678200
2021-03-15,57.450001,58.625000,56.845001,58.584999,58.413383,2513600
2021-03-16,59.380001,60.525002,58.660000,59.224998,59.051510,3575200
2021-03-17,58.044998,60.404999,57.389999,59.695000,59.520134,4021000
2021-03-18,57.825001,58.180000,55.860001,56.014999,55.850914,6188800
2021-03-19,55.974998,56.985001,55.169998,56.520000,56.354435,4958400
2021-03-22,57.264999,59.275002,57.264999,58.549999,58.378487,4236000
2021-03-23,58.910000,59.424999,57.709999,57.945000,57.775261,4800200
2021-03-24,58.544998,58.544998,56.014999,56.025002,55.860886,4357400
2021-03-25,55.355000,56.404999,54.439999,55.865002,55.701355,5429000
2021-03-26,55.775002,57.639999,55.275002,57.529999,57.361473,4398200
2021-03-29,57.334999,57.880001,56.244999,57.480000,57.311623,4043200
2021-03-30,56.759998,57.125000,55.900002,56.919998,56.753262,3206200
2021-03-31,57.580002,59.215000,57.445000,58.595001,58.423359,3196800
2021-04-01,60.115002,60.695000,60.009998,60.650002,60.472336,3203000
2021-04-05,61.605000,63.349998,61.505001,63.080002,62.895218,3624200
2021-04-06,62.930000,63.724998,62.700001,62.945000,62.760612,2562000
2021-04-07,62.794998,63.584999,62.424999,63.255001,63.069706,2254200
2021-04-08,64.404999,64.654999,64.070000,64.584999,64.395805,1752800
2021-04-09,64.044998,65.430000,63.779999,65.375000,65.183495,2988800
2021-04-12,64.945000,65.360001,64.440002,65.184998,64.994049,1973600
2021-04-13,65.790001,66.885002,65.730003,66.705002,66.509598,2285000
2021-04-14,66.809998,66.809998,64.775002,65.099998,64.909302,2873800
2021-04-15,66.239998,67.209999,66.199997,67.055000,66.858574,3013400
2021-04-16,67.275002,67.305000,66.485001,67.235001,67.038048,2228800
2021-04-19,66.610001,67.055000,65.220001,65.995003,65.801682,3181800
2021-04-20,65.705002,66.250000,64.230003,64.989998,64.799622,3173800
2021-04-21,64.525002,66.209999,64.110001,66.139999,65.946251,2780600
2021-04-22,65.964996,66.375000,64.080002,64.550003,64.360916,3601800
2021-04-23,64.794998,66.675003,64.794998,66.169998,65.976166,2382200
2021-04-26,66.264999,67.114998,65.964996,67.025002,66.828667,2026400
2021-04-27,67.120003,67.190002,66.044998,66.410004,66.215469,2005400
2021-04-28,66.305000,66.705002,65.730003,65.885002,65.692001,2808200
2021-04-29,67.275002,67.449997,65.169998,66.434998,66.240387,3281600
2021-04-30,65.455002,66.449997,65.224998,65.535004,65.343033,2410000
2021-05-03,66.040001,66.334999,64.699997,64.864998,64.674988,2963600
2021-05-04,63.840000,63.965000,61.009998,62.520000,62.336861,4904800
2021-05-05,63.325001,63.654999,61.814999,62.070000,61.888176,3422000
2021-05-06,62.009998,63.095001,61.134998,63.040001,62.855335,3603600
2021-05-07,64.114998,64.995003,63.634998,64.029999,63.842434,2837400
2021-05-10,63.509998,63.570000,60.750000,60.775002,60.596970,4005600
2021-05-11,58.529999,60.950001,58.299999,60.660000,60.482307,4495000
2021-05-12,58.735001,59.630001,57.189999,57.520000,57.351505,4545600
2021-05-13,58.605000,59.494999,57.505001,58.410000,58.238899,4693400
2021-05-14,59.605000,61.314999,59.395000,60.959999,60.781425,4236600
2021-05-17,60.279999,60.560001,59.134998,60.224998,60.048580,3402400
2021-05-18,60.599998,61.044998,59.314999,59.395000,59.221012,3204400
2021-05-19,57.360001,59.654999,57.230000,59.535000,59.360603,6531600
2021-05-20,60.095001,62.169998,60.035000,61.840000,61.658852,4921400
2021-05-21,62.450001,62.599998,61.009998,61.139999,60.960899,5329200
2021-05-24,62.044998,63.639999,61.895000,63.215000,63.029823,3234000
2021-05-25,63.810001,64.080002,62.919998,63.380001,63.194340,2730800
2021-05-26,63.650002,64.000000,63.369999,63.799999,63.613110,2076600
2021-05-27,63.630001,63.970001,63.279999,63.340000,63.154457,1747200
2021-05-28,63.810001,64.360001,63.619999,63.689999,63.503429,2976200
2021-06-01,64.260002,64.440002,62.790001,63.299999,63.114574,2272200
2021-06-02,63.470001,63.869999,62.869999,63.540001,63.353870,1863900
2021-06-03,62.419998,62.930000,61.570000,62.169998,61.987881,2331900
2021-06-04,62.919998,64.500000,62.880001,64.360001,64.171471,3203400
2021-06-07,64.070000,64.730003,63.849998,64.690002,64.500504,2074300
2021-06-08,65.410004,65.739998,64.110001,64.739998,64.550354,2144200
2021-06-09,65.320000,65.620003,64.730003,64.800003,64.610184,1826500
2021-06-10,64.940002,66.190002,64.779999,66.160004,65.966202,1765800
2021-06-11,66.150002,66.489998,65.889999,66.480003,66.285263,1324800
2021-06-14,66.669998,67.760002,66.199997,67.750000,67.551537,1714300
2021-06-15,67.610001,67.750000,66.589996,66.849998,66.654175,1516000
2021-06-16,67.050003,67.480003,64.989998,66.370003,66.175583,3153200
2021-06-17,65.970001,68.459999,65.949997,68.050003,67.850662,2676900
2021-06-18,67.410004,67.860001,66.690002,66.989998,66.793762,2951100
2021-06-21,67.070000,67.940002,66.169998,67.800003,67.601395,3670100
2021-06-22,67.739998,69.260002,67.610001,69.070000,68.867668,1867900
2021-06-23,69.059998,69.610001,68.820000,69.120003,68.917526,2352400
2021-06-24,69.959999,70.620003,69.720001,69.980003,69.775009,1822400
2021-06-25,70.220001,70.330002,69.580002,69.830002,69.625450,1653700
2021-06-28,70.400002,71.570000,70.330002,71.510002,71.300529,1289200
2021-06-29,71.430000,72.040001,71.110001,72.019997,71.809029,1085200
2021-06-30,71.959999,72.120003,71.559998,71.809998,71.599640,1258200
2021-07-01,71.639999,72.050003,71.099998,71.860001,71.649498,1555000
2021-07-02,72.639999,73.620003,72.559998,73.480003,73.264755,1483300
2021-07-06,73.730003,74.239998,72.610001,74.099998,73.882935,1481200
2021-07-07,75.040001,75.160004,73.620003,74.360001,74.142174,1825100
2021-07-08,72.269997,73.889999,71.730003,73.559998,73.344513,3150300
2021-07-09,73.279999,74.650002,73.040001,74.449997,74.231911,1807100
2021-07-12,75.029999,75.220001,74.360001,75.019997,74.800240,1756600
2021-07-13,74.870003,76.290001,74.660004,74.989998,74.770325,2779100
2021-07-14,76.029999,76.279999,74.940002,75.250000,75.029572,2439500
2021-07-15,75.239998,75.300003,73.370003,74.190002,73.972679,2751700
2021-07-16,74.599998,74.989998,72.870003,73.000000,72.786156,2427600
2021-07-19,71.529999,72.019997,70.730003,71.800003,71.589676,6831300
2021-07-20,72.220001,74.080002,71.500000,73.470001,73.254784,3830400
2021-07-21,73.309998,74.599998,73.199997,74.550003,74.331619,2398400
2021-07-22,74.709999,75.589996,74.709999,75.589996,75.368568,2076900
2021-07-23,76.169998,77.459999,75.629997,77.309998,77.083534,2422800
2021-07-26,77.059998,77.639999,76.680000,77.480003,77.253036,2391000
2021-07-27,77.349998,77.370003,73.959999,75.779999,75.558014,4270100
2021-07-28,76.239998,77.010002,75.279999,76.320000,76.096436,3262300
2021-07-29,76.120003,77.099998,76.099998,76.620003,76.395561,1909600
2021-07-30,74.919998,76.040001,74.879997,75.800003,75.577957,2435300
2021-08-02,76.510002,76.750000,75.559998,75.790001,75.567986,4722600
2021-08-03,76.120003,76.750000,74.720001,76.709999,76.485291,2855700
2021-08-04,76.699997,77.349998,76.239998,76.959999,76.734558,1731500
2021-08-05,77.279999,78.000000,76.989998,77.930000,77.701721,1549600
2021-08-06,77.349998,77.769997,76.750000,77.220001,76.993797,1722400
2021-08-09,77.419998,77.730003,76.949997,77.500000,77.272980,1302400
2021-08-10,77.709999,77.839996,76.190002,76.720001,76.495262,1672000
2021-08-11,77.250000,77.459999,75.860001,76.470001,76.245995,1428300
2021-08-12,76.209999,77.139999,75.650002,77.010002,76.784416,1474600
2021-08-13,77.139999,77.660004,76.949997,77.510002,77.282951,1127200
2021-08-16,77.029999,77.599998,75.370003,77.570000,77.342773,2484600
2021-08-17,76.389999,76.809998,75.169998,76.209999,75.986755,2368600
2021-08-18,76.000000,76.580002,74.599998,74.730003,74.511093,2494100
2021-08-19,73.900002,76.169998,73.800003,75.470001,75.248924,5092600
2021-08-20,75.879997,77.180000,75.790001,77.040001,76.814323,2774800
2021-08-23,77.470001,79.620003,77.470001,79.320000,79.087646,1905000
2021-08-24,79.599998,80.070000,79.370003,79.809998,79.576210,1379500
2021-08-25,79.930000,80.239998,79.589996,79.900002,79.665947,1613200
2021-08-26,79.629997,79.910004,78.800003,78.970001,78.738670,1932200
2021-08-27,79.250000,80.690002,79.040001,80.519997,80.284126,1871100
2021-08-30,80.830002,82.510002,80.830002,82.330002,82.088829,1987900
2021-08-31,82.410004,82.410004,81.480003,82.160004,81.919327,1876600
2021-09-01,82.639999,83.349998,82.349998,82.449997,82.208473,1836100
2021-09-02,83.029999,83.169998,81.809998,82.349998,82.108765,1590200
2021-09-03,81.820000,83.029999,81.820000,82.870003,82.627251,1405900
2021-09-07,82.879997,83.370003,82.379997,83.070000,82.826660,1520900
2021-09-08,83.000000,83.000000,81.489998,82.529999,82.288239,2407300
2021-09-09,82.580002,83.080002,81.820000,81.879997,81.640144,1906100
2021-09-10,82.750000,82.980003,80.529999,80.660004,80.423721,2824900
2021-09-13,81.690002,81.879997,79.650002,80.550003,80.314049,3096800
2021-09-14,81.199997,81.529999,79.680000,80.080002,79.845421,2848300
2021-09-15,80.309998,81.440002,79.290001,81.260002,81.021965,1682000
2021-09-16,80.720001,81.639999,79.849998,81.410004,81.171524,1853600
2021-09-17,81.199997,81.199997,79.000000,79.480003,79.247177,2966700
2021-09-20,76.900002,77.680000,74.139999,76.169998,75.946869,7216200
2021-09-21,76.940002,77.449997,75.879997,76.320000,76.096436,3503500
2021-09-22,76.760002,78.400002,76.290001,77.779999,77.552155,3499400
2021-09-23,78.250000,79.660004,77.989998,79.199997,78.967995,3420600
2021-09-24,78.199997,79.540001,78.080002,79.330002,79.097618,1995300
2021-09-27,78.000000,78.459999,76.970001,78.099998,77.871216,3073400
2021-09-28,76.120003,76.389999,73.449997,73.639999,73.424286,6174200
2021-09-29,74.209999,75.080002,73.160004,73.459999,73.244812,3704500
2021-09-30,74.120003,74.800003,72.730003,72.769997,72.556831,4377200
2021-10-01,73.089996,74.190002,71.410004,73.750000,73.533958,4782300
2021-10-04,73.070000,73.220001,69.730003,70.690002,70.482925,6211000
